id,y
1,8
2,2
3,4
4,7
5,8
6,5
7,2
8,8
9,1
10,1
11,2
12,7
13,1
14,1
15,8
16,1
17,4
18,8
19,9
20,4
21,2
22,2
23,4
24,8
25,9
26,2
27,5
28,3
29,4
30,8
31,5
32,2
33,9
34,6
35,3
36,4
37,9
38,6
39,5
40,1
41,1
42,2
43,4
44,4
45,4
46,1
47,5
48,6
49,3
50,3
51,1
52,6
53,1
54,6
55,7
56,1
57,4
58,2
59,1
60,1
61,6
62,5
63,7
64,9
65,8
66,9
67,1
68,8
69,3
70,2
71,1
72,4
73,3
74,6
75,6
76,7
77,9
78,8
79,7
80,9
81,4
82,1
83,7
84,2
85,9
86,1
87,1
88,8
89,7
90,4
91,4
92,8
93,1
94,8
95,8
96,4
97,4
98,7
99,7
100,7
101,5
102,8
103,8
104,8
105,2
106,9
107,7
108,1
109,1
110,6
111,1
112,4
113,8
114,2
115,6
116,2
117,2
118,8
119,6
120,8
121,1
122,2
123,2
124,2
125,4
126,4
127,9
128,3
129,3
130,1
131,6
132,2
133,3
134,2
135,5
136,6
137,8
138,6
139,4
140,7
141,1
142,5
143,2
144,2
145,9
146,6
147,6
148,8
149,9
150,2
151,4
152,1
153,1
154,5
155,3
156,5
157,4
158,5
159,1
160,5
161,3
162,8
163,6
164,9
165,2
166,3
167,7
168,3
169,6
170,8
171,1
172,8
173,9
174,2
175,7
176,6
177,1
178,9
179,2
180,8
181,8
182,6
183,7
184,9
185,1
186,8
187,5
188,8
189,9
190,6
191,5
192,3
193,6
194,1
195,2
196,4
197,1
198,7
199,8
200,9
201,8
202,2
203,1
204,6
205,6
206,9
207,2
208,2
209,7
210,8
211,1
212,4
213,3
214,7
215,5
216,5
217,2
218,1
219,9
220,2
221,2
222,8
223,2
224,5
225,8
226,4
227,8
228,1
229,1
230,2
231,1
232,1
233,9
234,6
235,7
236,4
237,7
238,1
239,1
240,8
241,7
242,1
243,7
244,6
245,7
246,4
247,8
248,4
249,9
250,8
251,5
252,8
253,1
254,8
255,6
256,5
257,2
258,1
259,1
260,1
261,3
262,6
263,1
264,6
265,4
266,6
267,5
268,9
269,3
270,1
271,6
272,3
273,5
274,6
275,9
276,4
277,6
278,1
279,5
280,7
281,1
282,1
283,3
284,6
285,5
286,8
287,4
288,1
289,9
290,8
291,8
292,4
293,5
294,5
295,1
296,8
297,7
298,3
299,3
300,4
301,9
302,9
303,1
304,3
305,8
306,2
307,1
308,1
309,8
310,8
311,2
312,9
313,1
314,8
315,6
316,8
317,1
318,8
319,8
320,9
321,1
