id,y
1,[1.53648333]
2,[2.18328823]
3,[0.85874442]
4,[1.94935402]
5,[2.28711518]
6,[2.20292525]
7,[1.74190906]
8,[2.16143665]
9,[0.93074654]
10,[1.60092638]
11,[0.8365981]
12,[2.00570011]
13,[1.02009655]
14,[0.99387555]
15,[1.02966649]
16,[0.94215898]
17,[2.18134445]
18,[2.27652923]
19,[1.72101022]
20,[1.46683105]
21,[1.03525388]
22,[0.82003716]
23,[0.84142795]
24,[2.43420332]
25,[2.11770162]
26,[2.47405729]
27,[1.41437581]
28,[2.00981646]
29,[0.96830613]
30,[2.16626924]
31,[2.15770569]
32,[1.01800639]
33,[2.18997623]
34,[2.47405729]
35,[1.09202699]
36,[1.80376685]
37,[1.28392067]
38,[1.73702014]
39,[0.8097035]
40,[0.93647585]
41,[0.93034831]
42,[1.41564064]
43,[1.37499164]
44,[2.30950256]
45,[2.20029102]
46,[0.99767407]
47,[0.87497083]
48,[1.31126807]
49,[0.83821757]
50,[1.02692067]
51,[0.95700517]
52,[1.01141387]
53,[0.92237523]
54,[2.1595283]
55,[2.18774187]
56,[0.95605174]
57,[0.74393623]
58,[1.65453379]
59,[0.99019081]
60,[2.11503448]
61,[1.35228919]
62,[0.94813223]
63,[1.97347748]
64,[2.25878197]
65,[0.76171731]
66,[2.04747996]
67,[0.93046128]
68,[2.12056121]
69,[1.49294804]
70,[0.99632846]
71,[2.18686578]
72,[1.20612668]
73,[1.07196728]
74,[2.34399583]
75,[2.18930796]
76,[2.07646835]
77,[0.83599587]
78,[1.54418287]
79,[1.34356799]
80,[2.20570615]
81,[1.82666221]
82,[1.5590424]
83,[2.33168804]
84,[2.13011837]
85,[2.11437811]
86,[1.04026445]
87,[0.77545306]
88,[2.39525443]
89,[1.33604446]
90,[0.78292782]
91,[0.73482272]
92,[1.03785012]
93,[1.05074788]
94,[2.12901601]
95,[2.37711624]
96,[0.82708192]
97,[0.86439149]
98,[2.11612959]
99,[2.19697948]
100,[2.19735553]
101,[2.46077263]
102,[1.74551068]
103,[1.52191878]
104,[2.11409429]
105,[1.8040212]
106,[1.04544858]
107,[2.26116333]
108,[0.95842053]
109,[0.94891928]
110,[0.87188165]
111,[2.37167485]
112,[1.08477352]
113,[0.67847267]
114,[0.8145009]
115,[1.70146814]
116,[0.80919277]
117,[0.88214981]
118,[2.44748797]
119,[2.21729589]
120,[1.02468067]
121,[2.12984219]
122,[1.50065219]
123,[0.74015849]
124,[0.95927798]
125,[2.20106245]
126,[0.92812951]
127,[2.1679649]
128,[2.25244024]
129,[0.81817834]
130,[1.05496643]
131,[1.02854382]
132,[0.74743046]
133,[2.13070184]
134,[1.54903418]
135,[1.5398325]
136,[2.41922905]
137,[2.17814731]
138,[2.00106026]
139,[1.01152825]
140,[2.42182374]
141,[1.08990425]
142,[2.08502808]
143,[2.34760759]
144,[1.03714096]
145,[2.31621798]
146,[0.86235145]
147,[0.70403233]
148,[2.37650077]
149,[1.83518878]
150,[2.13225748]
151,[2.22324793]
152,[0.81244236]
153,[1.04042455]
154,[2.29390891]
155,[0.83910038]
156,[1.40452273]
157,[0.93447152]
158,[0.95473573]
159,[0.97061492]
160,[2.28058694]
161,[0.83818117]
162,[2.18912017]
163,[2.31401955]
164,[2.17768355]
165,[2.04688451]
166,[0.89399385]
167,[1.23979958]
168,[1.87456807]
169,[1.74635265]
170,[2.08121343]
171,[0.98847239]
172,[0.75752516]
173,[1.49286232]
174,[0.98420573]
175,[2.42767507]
176,[2.14787038]
177,[2.23243061]
178,[1.90103446]
179,[0.856411]
180,[1.07684822]
181,[2.18467556]
182,[2.30892461]
183,[1.51108531]
184,[0.83793852]
185,[1.0529571]
186,[2.16425798]
187,[1.02459052]
188,[2.1265712]
189,[2.11335878]
190,[0.92323238]
191,[0.93174693]
192,[0.89415585]
193,[2.47405729]
194,[0.85641299]
195,[2.00402205]
196,[1.01862672]
197,[0.92646743]
198,[0.6840459]
199,[2.10972008]
200,[2.28353793]
201,[2.43420332]
202,[0.96256012]
203,[0.95852228]
204,[2.29420665]
205,[2.29572907]
206,[2.16626924]
207,[1.76414105]
208,[1.17733081]
209,[1.97569517]
210,[2.39525443]
211,[0.77250582]
212,[1.39582448]
213,[2.31603081]
214,[1.34891215]
215,[2.29621791]
216,[0.68500091]
217,[1.51565049]
218,[0.97484175]
219,[2.21631737]
220,[0.80145279]
221,[0.84470941]
222,[1.72386631]
223,[0.81404634]
224,[1.11434171]
225,[2.17669157]
226,[1.58007062]
227,[2.41878228]
228,[0.95715873]
229,[0.87816233]
230,[1.51606754]
231,[0.95054735]
232,[0.99805012]
233,[1.51622171]
234,[0.83320946]
235,[1.02296225]
236,[2.11138571]
237,[2.29662022]
238,[0.94856849]
239,[0.97061492]
240,[2.07373298]
241,[2.14943359]
242,[1.81433541]
243,[0.892153]
244,[1.92077974]
245,[0.87425564]
246,[1.77226691]
247,[2.26524631]
248,[1.0233383]
249,[0.8059039]
250,[0.92267609]
251,[0.88079547]
252,[2.19796021]
253,[1.02009655]
254,[0.97505018]
255,[0.78964153]
256,[1.00062221]
257,[1.46400414]
258,[0.95248574]
259,[0.87200422]
260,[0.94852771]
261,[1.50449106]
262,[0.81370913]
263,[1.05888312]
264,[0.85735318]
265,[2.23516034]
266,[2.11573135]
267,[2.2901801]
268,[2.01034934]
269,[1.6163987]
270,[1.02804635]
271,[1.45510732]
272,[1.37020506]
273,[2.12494846]
274,[1.47489799]
275,[2.16559232]
